SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000001,6.6,4.5,7.8,4.0,6.5,5.75,5.42,,,,
52000002,9.0,6.75,9.4,8.75,7.25,7.25,7.75,,,,
52000003,7.0,6.5,,,,,,7.25,6.25,8.5,7.33
52000004,7.4,5.5,6.2,7.25,6.5,5.75,6.5,,,,
52000005,8.8,6.75,,7.0,7.75,9.0,7.92,,,,
52000006,7.8,8.25,9.0,,,,,7.5,7.0,8.5,7.67
52000007,8.4,8.5,9.8,,,,,9.0,7.5,9.75,8.75
52000008,8.0,8.5,8.6,,,,,6.75,6.0,9.5,7.42
52000009,7.2,4.75,6.0,6.0,5.25,5.5,5.58,,,,
52000010,7.0,5.0,4.6,,,,,6.0,5.25,8.5,6.58
52000011,7.4,7.5,5.0,7.25,7.0,6.5,6.92,,,,
52000012,7.8,8.0,9.6,,,,,7.25,8.5,8.75,8.17
52000013,3.2,5.5,3.8,,,,,5.0,5.5,8.0,6.17
52000014,7.2,7.0,5.8,,,,,8.0,7.0,9.5,8.17
52000015,8.2,9.0,9.8,,,,,8.75,8.5,9.75,9.0
52000016,6.8,7.0,5.2,7.0,7.5,6.5,7.0,,,,
52000017,7.4,7.75,,6.0,7.0,5.75,6.25,,,,
52000018,8.2,8.5,9.6,,,,,6.75,6.25,9.25,7.42
52000019,8.8,6.75,8.8,7.25,5.0,7.5,6.58,,,,
52000020,8.6,7.0,,9.75,8.75,4.5,7.67,,,,
52000021,7.2,6.75,7.0,5.25,8.5,8.25,7.33,,,,
52000022,7.6,8.0,6.4,,,,,6.75,5.5,9.75,7.33
52000023,8.0,6.25,7.0,6.25,8.75,7.0,7.33,,,,
52000024,8.4,6.5,,7.0,6.25,6.5,6.58,,,,
52000025,7.2,7.0,5.6,,,,,6.75,6.0,8.25,7.0
52000026,8.4,6.0,7.4,7.5,8.0,7.0,7.5,,,,
52000027,8.2,8.25,9.6,,,,,8.0,7.75,9.75,8.5
52000028,7.8,8.5,,,,,,8.75,9.0,9.75,9.17
52000029,7.0,6.5,5.8,6.25,5.5,4.75,5.5,,,,
52000030,6.6,7.0,7.8,,,,,6.0,6.25,9.5,7.25
52000031,8.4,8.0,9.0,7.0,7.25,8.25,7.5,,,,
52000032,7.6,8.75,9.4,,,,,7.75,6.75,9.25,7.92
52000033,8.0,8.25,9.0,6.75,7.25,8.0,7.33,,,,
52000034,8.2,6.0,8.4,6.5,7.5,6.5,6.83,,,,
52000035,5.6,7.75,7.4,,,,,5.5,4.25,7.25,5.67
52000036,7.2,5.5,9.0,,,,,7.0,7.75,9.0,7.92
52000037,6.4,6.25,8.4,,,,,4.75,5.0,9.75,6.5
52000038,7.4,7.25,6.2,,,,,7.25,6.5,9.5,7.75
