SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
56000001,4.8,6.5,5.0,,,,,6.75,6.25,7.25,6.75
56000002,7.4,7.0,4.0,6.5,8.0,6.5,7.0,,,,
56000003,4.0,5.25,2.8,,,,,4.0,5.0,7.0,5.33
56000004,6.2,6.75,6.4,,,,,7.25,8.0,9.25,8.17
56000005,3.2,6.0,3.8,,,,,3.75,5.25,7.25,5.42
56000006,6.6,6.25,6.8,5.25,7.5,6.0,6.25,,,,
56000007,6.2,7.25,6.0,,,,,8.0,6.75,9.5,8.08
56000008,7.4,8.25,5.2,4.5,7.0,6.5,6.0,,,,
56000009,6.0,8.0,6.0,,,,,6.25,5.25,9.0,6.83
56000010,6.8,6.5,4.8,5.25,5.0,5.5,5.25,,,,
56000011,5.8,8.0,5.2,,,,,5.75,6.5,8.5,6.92
56000012,6.4,8.0,5.2,5.5,6.0,7.75,6.42,,,,
56000013,8.0,7.0,4.0,7.0,7.25,5.5,6.58,,,,
56000014,7.2,7.0,7.6,6.5,7.25,7.0,6.92,,,,
56000015,6.2,6.5,5.2,,,,,6.75,6.0,8.75,7.17
56000016,6.6,5.0,5.8,7.0,6.0,7.0,6.67,,,,
56000017,6.8,6.0,4.2,7.25,5.5,6.5,6.42,,,,
56000018,5.6,5.75,4.6,3.5,4.5,5.0,4.33,,,,
56000019,4.6,5.5,5.0,,,,,6.5,6.75,7.75,7.0
56000020,4.6,5.5,3.6,,,,,4.75,6.5,9.25,6.83
56000021,7.0,5.25,7.4,5.75,5.25,6.5,5.83,,,,
56000022,7.0,7.5,4.6,,,,,7.5,7.5,8.5,7.83
56000023,8.4,7.5,6.4,7.75,8.25,8.25,8.08,,,,
56000024,7.6,7.25,4.0,6.5,8.25,7.0,7.25,,,,
56000025,5.4,6.25,5.4,,,,,7.5,6.75,9.0,7.75
56000026,7.8,7.0,8.4,,,,,6.5,7.0,9.5,7.67
56000027,4.0,6.5,4.4,,,,,5.0,6.0,9.0,6.67
56000028,7.6,7.75,8.2,5.25,6.75,7.25,6.42,,,,
56000029,6.2,6.25,4.0,,,,,4.0,5.75,8.0,5.92
56000030,7.8,7.25,5.2,,,,,6.0,7.5,9.5,7.67
56000031,7.0,6.25,3.6,,,,,6.0,6.5,8.5,7.0
56000032,5.2,5.5,4.4,,,,,5.75,6.25,8.5,6.83
56000033,6.2,7.75,8.2,,,,,7.25,5.5,8.75,7.17
56000034,5.0,3.75,2.2,,,,,5.0,5.0,7.25,5.75
56000035,7.0,6.75,7.4,,,,,6.75,8.0,8.5,7.75
56000036,7.0,6.0,5.6,7.25,7.0,6.0,6.75,,,,
56000037,8.2,8.5,6.6,,,,,,,,
56000038,5.0,7.25,4.0,,,,,5.75,5.75,8.75,6.75
56000039,8.0,9.0,8.2,8.0,8.0,8.25,8.08,,,,
56000040,7.4,6.5,5.6,,,,,7.0,7.5,8.75,7.75
56000041,6.2,7.25,6.8,7.25,8.0,8.25,7.83,,,,
56000042,6.6,5.25,5.8,,,,,4.5,5.75,7.5,5.92
56000043,7.8,7.0,7.4,7.25,5.25,6.75,6.42,,,,
56000044,7.0,5.5,4.4,,,,,6.0,6.5,8.0,6.83
56000045,5.2,8.25,5.6,,,,,4.0,6.0,7.5,5.83
56000046,6.2,7.0,4.4,5.75,6.0,5.75,5.83,,,,
56000047,7.4,6.5,9.0,6.5,6.25,7.0,6.58,,,,
56000048,6.6,7.0,7.6,5.75,5.75,6.25,5.92,,,,
