SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
44000001.0,7.4,6.5,,,,,,5.25,7.0,,4.08
44000002.0,7.0,8.0,6.6,,,,,6.5,6.5,9.25,7.42
44000003.0,7.0,7.0,6.2,,,,,9.5,9.25,9.75,9.5
44000004.0,8.6,9.0,8.8,8.5,7.75,9.25,8.5,,,,
44000005.0,,1.75,,,,,,1.0,1.0,,0.67
44000006.0,6.4,7.75,5.4,,,,,6.75,8.0,9.25,8.0
44000007.0,8.0,6.5,8.2,5.75,8.0,8.5,7.42,,,,
44000008.0,5.2,6.0,6.0,,,,,7.0,8.0,8.5,7.83
44000009.0,7.6,7.5,7.4,7.0,9.25,7.5,7.92,,,,
44000010.0,6.8,9.0,8.0,,,,,6.0,7.0,9.75,7.58
44000011.0,7.6,7.5,5.2,,,,,7.75,7.5,7.5,7.58
44000012.0,6.6,7.5,,,,,,9.0,7.25,9.25,8.5
44000013.0,8.8,7.25,9.0,8.75,8.25,7.25,8.08,,,,
44000014.0,8.4,6.5,9.4,8.0,7.25,8.25,7.83,,,,
44000015.0,6.6,7.5,6.4,,,,,7.0,7.25,8.75,7.67
44000016.0,6.8,9.0,9.4,,,,,8.5,6.5,9.5,8.17
44000017.0,7.2,6.75,6.2,,,,,6.75,6.5,9.25,7.5
44000018.0,7.8,9.0,9.6,,,,,7.0,6.0,8.5,7.17
44000019.0,7.8,7.5,9.2,7.75,8.0,6.25,7.33,,,,
44000020.0,8.2,8.25,8.6,,,,,8.75,8.5,10.0,9.08
44000021.0,7.4,6.25,9.2,6.5,6.25,7.5,6.75,,,,
44000022.0,8.2,8.25,,8.0,7.25,7.25,7.5,,,,
44000023.0,7.0,6.5,7.4,4.25,7.0,6.5,5.92,,,,
44000024.0,7.8,6.75,4.8,7.0,6.5,6.25,6.58,,,,
44000025.0,8.2,8.25,8.2,,,,,9.5,8.0,9.75,9.08
44000026.0,,6.83,,,,,,8.0,6.25,,4.75
44000027.0,6.2,7.5,5.2,,,,,8.0,7.25,9.0,8.08
44000028.0,8.0,6.75,8.8,,,,,,,,
