SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000001,6.60,4.50,7.80,4.00,6.50,5.75,5.42,,,,
52000002,9.00,6.75,9.40,8.75,7.25,7.25,7.75,,,,
52000003,7.00,6.50,,,,,,7.25,6.25,8.50,7.33
52000004,7.40,5.50,6.20,7.25,6.50,5.75,6.50,,,,
52000005,8.80,6.75,,7.00,7.75,9.00,7.92,,,,
52000006,7.80,8.25,9.00,,,,,7.50,7.00,8.50,7.67
52000007,8.40,8.50,9.80,,,,,9.00,7.50,9.75,8.75
52000008,8.00,8.50,8.60,,,,,6.75,6.00,9.50,7.42
52000009,7.20,4.75,6.00,6.00,5.25,5.50,5.58,,,,
52000010,7.00,5.00,4.60,,,,,6.00,5.25,8.50,6.58
52000011,7.40,7.50,5.00,7.25,7.00,6.50,6.92,,,,
52000012,7.80,8.00,9.60,,,,,7.25,8.50,8.75,8.17
52000013,3.20,5.50,3.80,,,,,5.00,5.50,8.00,6.17
52000014,7.20,7.00,5.80,,,,,8.00,7.00,9.50,8.17
52000015,8.20,9.00,9.80,,,,,8.75,8.50,9.75,9.00
52000016,6.80,7.00,5.20,7.00,7.50,6.50,7.00,,,,
52000017,7.40,7.75,,6.00,7.00,5.75,6.25,,,,
52000018,8.20,8.50,9.60,,,,,6.75,6.25,9.25,7.42
52000019,8.80,6.75,8.80,7.25,5.00,7.50,6.58,,,,
52000020,8.60,7.00,,9.75,8.75,4.50,7.67,,,,
52000021,7.20,6.75,7.00,5.25,8.50,8.25,7.33,,,,
52000022,7.60,8.00,6.40,,,,,6.75,5.50,9.75,7.33
52000023,8.00,6.25,7.00,6.25,8.75,7.00,7.33,,,,
52000024,8.40,6.50,,7.00,6.25,6.50,6.58,,,,
52000025,7.20,7.00,5.60,,,,,6.75,6.00,8.25,7.00
52000026,8.40,6.00,7.40,7.50,8.00,7.00,7.50,,,,
52000027,8.20,8.25,9.60,,,,,8.00,7.75,9.75,8.50
52000028,7.80,8.50,,,,,,8.75,9.00,9.75,9.17
52000029,7.00,6.50,5.80,6.25,5.50,4.75,5.50,,,,
52000030,6.60,7.00,7.80,,,,,6.00,6.25,9.50,7.25
52000031,8.40,8.00,9.00,7.00,7.25,8.25,7.50,,,,
52000032,7.60,8.75,9.40,,,,,7.75,6.75,9.25,7.92
52000033,8.00,8.25,9.00,6.75,7.25,8.00,7.33,,,,
52000034,8.20,6.00,8.40,6.50,7.50,6.50,6.83,,,,
52000035,5.60,7.75,7.40,,,,,5.50,4.25,7.25,5.67
52000036,7.20,5.50,9.00,,,,,7.00,7.75,9.00,7.92
52000037,6.40,6.25,8.40,,,,,4.75,5.00,9.75,6.50
52000038,7.40,7.25,6.20,,,,,7.25,6.50,9.50,7.75
52000039,7.20,6.50,4.80,,,,,5.25,6.50,9.00,6.92
52000040,6.60,7.00,5.60,,,,,6.00,5.75,8.75,6.83
52000041,8.80,7.00,9.40,6.75,6.25,6.00,6.33,,,,
52000042,8.00,6.00,9.40,8.00,5.00,5.75,6.25,,,,
52000043,7.40,6.25,6.80,,,,,7.50,6.00,8.75,7.42
52000044,7.40,7.00,8.40,3.00,7.25,7.75,6.00,,,,
52000045,7.40,7.00,6.60,,,,,7.00,5.75,9.25,7.33
52000046,7.20,5.50,4.60,,,,,6.00,5.75,8.00,6.58
52000047,8.00,7.75,7.00,8.00,8.50,6.00,7.50,,,,
52000048,8.00,7.50,8.80,6.25,7.00,5.25,6.17,,,,
52000049,6.60,9.25,8.80,,,,,7.00,7.00,8.50,7.50
52000050,8.20,6.25,7.80,6.50,7.00,6.75,6.75,,,,
52000051,8.00,6.50,9.00,6.50,6.75,4.25,5.83,,,,
52000052,5.40,5.50,2.60,,,,,2.25,4.25,7.50,4.67
52000053,6.40,7.00,9.60,,,,,8.50,6.50,8.75,7.92
52000054,7.60,6.50,8.80,6.75,6.75,9.00,7.50,,,,
