SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
53000001,4.2,9,5.4,,,,,6.5,6.5,8.5,7.17
53000002,6.8,7.75,3.8,,,,,6.75,7,9.25,7.67
53000003,9,8.75,6.4,8.5,8.25,6,7.58,,,,
53000004,7,7,6,7,7.75,7.25,7.33,,,,
53000005,6.6,7.25,4.6,6.25,7.25,5.5,6.33,,,,
53000006,7.6,6.75,4.6,6,7.25,6.5,6.58,,,,
53000007,5.4,7,5.4,5.25,5.5,5.75,5.5,,,,
53000008,5.6,8.75,7.6,5.75,7.75,8,7.17,,,,
53000009,7.8,8.5,6.8,5.25,7.25,7.25,6.58,,,,
53000010,5.4,8,5.4,,,,,4.5,5.5,8.75,6.25
53000011,7,6.25,4.4,6.25,8,8,7.42,,,,
53000012,3.2,6.75,3.8,,,,,3.75,4.5,6.75,5
53000013,8,7.25,5.2,7,6.25,6.75,6.67,,,,
53000014,6.6,8,6.8,,,,,4,4.75,8.5,5.75
53000015,6.8,8.5,8,,,,,6.25,6.5,9,7.25
53000016,5.8,6.75,3.8,,,,,5.25,6,8.75,6.67
53000017,6.6,7.5,4.4,,,,,6.5,5.75,8.75,7
53000018,8.4,7.5,4.2,3.5,6.25,8.25,6,,,,
53000019,6.6,7.5,9.2,7,6,6.25,6.42,,,,
53000020,6.4,7.25,4.2,3.5,5.75,6.25,5.17,,,,
53000021,5.8,7.25,5,4.5,7.5,6,6,,,,
53000022,7.4,9.25,8.6,,,,,9.5,7.25,10,8.92
53000023,4.2,6.42,3.2,,,,,4.25,7,7.75,6.33
53000024,7.2,9.75,7.2,,,,,9.75,9,10,9.58
53000025,7,8.25,7,7.25,7.25,6.25,6.92,,,,
53000026,7.8,7.25,6.8,,,,,7,6.5,8,7.17
53000027,6.6,6.75,5.4,5,7.25,6.5,6.25,,,,
53000028,7.6,6,4.4,5.75,7.75,5.25,6.25,,,,
53000029,7.4,6.75,6.2,7.5,8,6,7.17,,,,
53000030,6.8,5,6,5.25,7,6,6.08,,,,
53000031,5.2,9.25,6,,,,,7.25,7.5,9.25,8
53000032,6,7.5,5,,,,,4.5,4.75,7.5,5.58
53000033,3.2,7,5.2,,,,,7,5.25,8.5,6.92
53000034,8,9,8.8,6.5,6.25,7.25,6.67,,,,
53000035,7.4,8,5.6,6.75,6,7.5,6.75,,,,
53000036,7.4,8.5,6.4,,,,,7.5,7,9.25,7.92
53000037,7.4,7.75,5.2,,,,,5.75,5,7.75,6.17
53000038,5.8,8.75,7.4,,,,,6.5,6.5,9,7.33
53000039,7.6,8.75,7.2,,,,,5.75,6.25,9.25,7.08
53000040,7.4,7.25,7.6,6.25,8.5,5.75,6.83,,,,
