SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
57000001,7.40,6.75,6.20,7.50,5.75,8.25,7.17,,,,
57000002,7.40,7.25,8.40,,,,,6.50,8.75,8.75,8.00
57000003,6.40,6.50,7.60,5.75,7.00,6.50,6.42,,,,
57000004,8.20,6.75,8.20,7.25,7.50,7.50,7.42,,,,
57000005,6.80,6.50,7.80,7.00,5.75,6.50,6.42,,,,
57000006,2.60,7.00,,,,,,4.25,5.25,,3.17
57000007,8.60,6.75,8.80,8.50,8.25,7.75,8.17,,,,
57000008,3.80,4.75,,,,,,3.00,5.25,,2.75
57000009,5.60,5.75,,,,,,6.25,6.00,,4.08
57000010,2.40,5.25,,,,,,5.50,4.75,,3.42
57000011,8.20,7.50,7.80,7.25,6.75,8.75,7.58,,,,
57000012,8.00,6.00,8.60,8.75,5.25,7.25,7.08,,,,
57000013,5.60,6.75,4.80,,,,,4.75,5.25,9.25,6.42
57000014,7.20,6.50,9.40,,,,,6.25,5.50,8.50,6.75
57000015,4.40,6.50,,,,,,5.50,5.00,,3.50
57000016,4.00,5.50,,,,,,3.25,4.25,,2.50
57000017,7.20,6.25,4.20,6.25,7.25,6.75,6.75,,,,
57000018,7.00,5.75,5.20,4.75,6.25,5.50,5.50,,,,
57000019,6.80,5.00,6.00,,,,,4.50,6.25,9.00,6.58
57000020,4.40,4.75,,,,,,4.25,4.75,,3.00
57000021,8.00,7.25,5.80,8.25,7.00,8.50,7.92,,,,
57000022,6.40,7.00,7.80,3.75,7.75,8.25,6.58,,,,
57000023,7.60,5.25,4.00,6.50,6.50,6.00,6.33,,,,
57000024,7.40,6.25,5.80,,,,,7.25,5.75,8.00,7.00
57000025,6.40,6.00,7.40,7.25,5.50,6.75,6.50,,,,
57000026,7.20,5.75,4.60,6.25,6.50,7.50,6.75,,,,
57000027,7.40,5.25,9.00,6.75,7.50,8.75,7.67,,,,
57000028,7.80,8.00,8.00,,,,,7.75,7.50,10.00,8.42
57000029,4.20,5.25,,,,,,3.75,5.50,,3.08
57000030,6.60,5.25,,,,,,5.50,5.75,,3.75
57000031,5.20,5.75,7.40,5.50,4.25,6.50,5.42,,,,
57000032,7.80,,,,8.25,8.50,5.58,,,,
57000033,6.80,5.25,7.20,7.75,6.75,7.50,7.33,,,,
57000034,7.00,6.25,6.20,5.75,7.00,7.25,6.67,,,,
57000035,5.60,6.50,4.60,4.25,6.50,7.25,6.00,,,,
57000036,7.20,6.50,6.80,,,,,8.00,5.50,9.75,7.75
57000037,5.20,5.25,6.00,5.50,6.50,6.50,6.17,,,,
57000038,,8.00,,,,,,9.00,7.50,,5.50
57000039,7.80,6.00,4.20,,,,,6.75,6.25,8.25,7.08
57000040,4.60,6.50,6.60,5.00,5.00,6.25,5.42,,,,
57000041,7.80,7.00,7.80,8.25,7.25,7.75,7.75,,,,
57000042,5.20,7.00,4.20,,,,,9.00,9.00,7.75,8.58
57000043,7.80,6.00,7.20,8.00,4.50,7.50,6.67,,,,
57000044,6.80,8.00,5.80,,,,,8.50,7.00,9.75,8.42
57000045,8.60,9.00,8.20,7.00,7.75,8.25,7.67,,,,
57000046,2.40,5.75,,,,,,6.75,6.00,,4.25
57000047,7.40,7.75,8.40,7.75,7.75,8.00,7.83,,,,
57000048,5.20,5.00,,,,,,6.00,5.25,,3.75
57000049,5.40,4.25,,,,,,4.75,5.75,,3.50
57000050,6.80,5.50,7.80,6.75,8.25,5.75,6.92,,,,
57000051,7.40,,,6.00,6.75,,4.25,,,,
57000052,7.40,6.00,6.80,4.75,7.75,7.00,6.50,,,,
57000053,6.80,7.50,,,,,,8.00,7.50,,5.17
57000054,5.20,5.50,,,,,,6.00,6.00,,4.00
57000055,8.60,6.75,7.80,8.00,8.25,8.25,8.17,,,,
57000056,7.80,5.25,7.60,6.25,6.75,7.75,6.92,,,,
57000057,8.00,6.25,7.80,6.50,7.25,7.00,6.92,,,,
57000058,8.00,6.25,7.00,6.50,8.00,7.50,7.33,,,,
57000059,5.40,6.25,5.60,4.75,5.50,5.25,5.17,,,,
57000060,4.60,5.25,,,,,,4.25,5.25,,3.17
57000061,3.60,5.25,,,,,,4.75,5.75,,3.50
57000062,5.80,5.50,5.20,,,,,5.75,6.00,6.75,6.17
57000063,7.40,5.75,2.40,5.75,6.25,4.50,5.50,,,,
57000064,6.60,6.25,8.80,7.00,5.50,7.00,6.50,,,,
57000065,7.80,6.50,7.00,,,,,7.75,6.50,8.00,7.42
57000066,5.00,5.75,,,,,,7.00,6.75,,4.58
57000067,6.80,6.00,8.00,,,,,6.75,6.75,8.75,7.42
