SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
56000001,4.80,6.50,5.00,,,,,6.75,6.25,7.25,6.75
56000002,7.40,7.00,4.00,6.50,8.00,6.50,7.00,,,,
56000003,4.00,5.25,2.80,,,,,4.00,5.00,7.00,5.33
56000004,6.20,6.75,6.40,,,,,7.25,8.00,9.25,8.17
56000005,3.20,6.00,3.80,,,,,3.75,5.25,7.25,5.42
56000006,6.60,6.25,6.80,5.25,7.50,6.00,6.25,,,,
56000007,6.20,7.25,6.00,,,,,8.00,6.75,9.50,8.08
56000008,7.40,8.25,5.20,4.50,7.00,6.50,6.00,,,,
56000009,6.00,8.00,6.00,,,,,6.25,5.25,9.00,6.83
56000010,6.80,6.50,4.80,5.25,5.00,5.50,5.25,,,,
56000011,5.80,8.00,5.20,,,,,5.75,6.50,8.50,6.92
56000012,6.40,8.00,5.20,5.50,6.00,7.75,6.42,,,,
56000013,8.00,7.00,4.00,7.00,7.25,5.50,6.58,,,,
56000014,7.20,7.00,7.60,6.50,7.25,7.00,6.92,,,,
56000015,6.20,6.50,5.20,,,,,6.75,6.00,8.75,7.17
56000016,6.60,5.00,5.80,7.00,6.00,7.00,6.67,,,,
56000017,6.80,6.00,4.20,7.25,5.50,6.50,6.42,,,,
56000018,5.60,5.75,4.60,3.50,4.50,5.00,4.33,,,,
56000019,4.60,5.50,5.00,,,,,6.50,6.75,7.75,7.00
56000020,4.60,5.50,3.60,,,,,4.75,6.50,9.25,6.83
56000021,7.00,5.25,7.40,5.75,5.25,6.50,5.83,,,,
56000022,7.00,7.50,4.60,,,,,7.50,7.50,8.50,7.83
56000023,8.40,7.50,6.40,7.75,8.25,8.25,8.08,,,,
56000024,7.60,7.25,4.00,6.50,8.25,7.00,7.25,,,,
56000025,5.40,6.25,5.40,,,,,7.50,6.75,9.00,7.75
56000026,7.80,7.00,8.40,,,,,6.50,7.00,9.50,7.67
56000027,4.00,6.50,4.40,,,,,5.00,6.00,9.00,6.67
56000028,7.60,7.75,8.20,5.25,6.75,7.25,6.42,,,,
56000029,6.20,6.25,4.00,,,,,4.00,5.75,8.00,5.92
56000030,7.80,7.25,5.20,,,,,6.00,7.50,9.50,7.67
56000031,7.00,6.25,3.60,,,,,6.00,6.50,8.50,7.00
56000032,5.20,5.50,4.40,,,,,5.75,6.25,8.50,6.83
56000033,6.20,7.75,8.20,,,,,7.25,5.50,8.75,7.17
56000034,5.00,3.75,2.20,,,,,5.00,5.00,7.25,5.75
56000035,7.00,6.75,7.40,,,,,6.75,8.00,8.50,7.75
56000036,7.00,6.00,5.60,7.25,7.00,6.00,6.75,,,,
56000037,8.20,8.50,6.60,,,,,,,,
56000038,5.00,7.25,4.00,,,,,5.75,5.75,8.75,6.75
56000039,8.00,9.00,8.20,8.00,8.00,8.25,8.08,,,,
56000040,7.40,6.50,5.60,,,,,7.00,7.50,8.75,7.75
56000041,6.20,7.25,6.80,7.25,8.00,8.25,7.83,,,,
56000042,6.60,5.25,5.80,,,,,4.50,5.75,7.50,5.92
56000043,7.80,7.00,7.40,7.25,5.25,6.75,6.42,,,,
56000044,7.00,5.50,4.40,,,,,6.00,6.50,8.00,6.83
56000045,5.20,8.25,5.60,,,,,4.00,6.00,7.50,5.83
56000046,6.20,7.00,4.40,5.75,6.00,5.75,5.83,,,,
56000047,7.40,6.50,9.00,6.50,6.25,7.00,6.58,,,,
56000048,6.60,7.00,7.60,5.75,5.75,6.25,5.92,,,,
56000049,6.00,8.50,6.80,,,,,7.25,6.75,9.00,7.67
56000050,6.80,6.00,5.40,4.50,5.25,5.75,5.17,,,,
56000051,6.80,6.50,4.60,,,,,6.50,7.50,8.25,7.42
56000052,7.60,5.75,6.60,,,,,7.50,6.75,8.50,7.58
56000053,8.00,8.00,,7.50,7.25,7.00,7.25,,,,
56000054,7.00,6.50,4.40,,,,,3.50,6.75,7.75,6.00
56000055,4.80,4.25,4.40,,,,,4.25,7.00,7.25,6.17
56000056,6.40,4.75,2.20,,,,,4.25,6.75,8.25,6.42
56000057,8.80,6.50,7.80,7.75,7.00,7.00,7.25,,,,
56000058,7.20,5.25,3.60,,,,,6.00,6.75,9.25,7.33
56000059,6.80,8.00,5.40,5.75,7.00,7.50,6.75,,,,
56000060,7.60,8.00,7.20,,,,,7.50,7.00,9.00,7.83
56000061,7.60,5.00,3.80,,,,,4.00,7.25,8.75,6.67
56000062,5.80,5.75,3.40,,,,,7.00,6.75,9.00,7.58
