SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
44000001,7.40,6.50,,,,,,5.25,7.00,,4.08
44000002,7.00,8.00,6.60,,,,,6.50,6.50,9.25,7.42
44000003,7.00,7.00,6.20,,,,,9.50,9.25,9.75,9.50
44000004,8.60,9.00,8.80,8.50,7.75,9.25,8.50,,,,
44000005,,1.75,,,,,,1.00,1.00,,0.67
44000006,6.40,7.75,5.40,,,,,6.75,8.00,9.25,8.00
44000007,8.00,6.50,8.20,5.75,8.00,8.50,7.42,,,,
44000008,5.20,6.00,6.00,,,,,7.00,8.00,8.50,7.83
44000009,7.60,7.50,7.40,7.00,9.25,7.50,7.92,,,,
44000010,6.80,9.00,8.00,,,,,6.00,7.00,9.75,7.58
44000011,7.60,7.50,5.20,,,,,7.75,7.50,7.50,7.58
44000012,6.60,7.50,,,,,,9.00,7.25,9.25,8.50
44000013,8.80,7.25,9.00,8.75,8.25,7.25,8.08,,,,
44000014,8.40,6.50,9.40,8.00,7.25,8.25,7.83,,,,
44000015,6.60,7.50,6.40,,,,,7.00,7.25,8.75,7.67
44000016,6.80,9.00,9.40,,,,,8.50,6.50,9.50,8.17
44000017,7.20,6.75,6.20,,,,,6.75,6.50,9.25,7.50
44000018,7.80,9.00,9.60,,,,,7.00,6.00,8.50,7.17
44000019,7.80,7.50,9.20,7.75,8.00,6.25,7.33,,,,
44000020,8.20,8.25,8.60,,,,,8.75,8.50,10.00,9.08
44000021,7.40,6.25,9.20,6.50,6.25,7.50,6.75,,,,
44000022,8.20,8.25,,8.00,7.25,7.25,7.50,,,,
44000023,7.00,6.50,7.40,4.25,7.00,6.50,5.92,,,,
44000024,7.80,6.75,4.80,7.00,6.50,6.25,6.58,,,,
44000025,8.20,8.25,8.20,,,,,9.50,8.00,9.75,9.08
44000026,,6.83,,,,,,8.00,6.25,,4.75
44000027,6.20,7.50,5.20,,,,,8.00,7.25,9.00,8.08
44000028,8.00,6.75,8.80,,,,,,,,
44000029,7.80,8.75,8.80,6.50,7.75,7.25,7.17,,,,
44000030,7.40,7.75,7.00,7.00,7.50,7.25,7.25,,,,
44000031,8.00,7.25,8.60,7.75,8.50,8.00,8.08,,,,
44000032,8.00,7.50,6.80,8.50,7.25,8.25,8.00,,,,
44000033,7.00,7.00,,,,,,6.25,6.50,,4.25
44000034,7.60,7.75,6.00,8.50,8.25,7.25,8.00,,,,
44000035,6.80,7.50,,5.25,7.00,5.25,5.83,,,,
44000036,6.00,7.75,,,,,,8.00,7.25,9.50,8.25
44000037,6.40,5.50,4.60,,,,,6.00,6.00,8.25,6.75
44000038,6.40,8.00,6.80,,,,,7.25,8.50,9.75,8.50
44000039,8.00,6.50,,7.25,6.50,5.50,6.42,,,,
44000040,7.40,8.25,8.60,,,,,,,,
44000041,8.20,7.25,8.80,,,,,9.00,7.75,10.00,8.92
44000042,6.00,6.25,,,,,,4.50,5.25,,3.25
44000043,6.80,8.75,7.60,6.25,6.75,8.50,7.17,,,,
44000044,7.40,8.00,8.80,,,,,7.50,6.75,9.25,7.83
44000045,8.20,7.75,5.20,6.50,7.00,8.25,7.25,,,,
44000046,6.40,7.75,5.00,,,,,5.75,4.75,8.25,6.25
44000047,5.80,7.50,,,,,,5.25,5.25,,3.50
44000048,8.00,8.50,8.60,7.50,8.50,8.75,8.25,,,,
44000049,7.60,7.75,8.00,,,,,8.25,8.50,9.50,8.75
44000050,6.80,6.50,4.80,,,,,4.00,5.00,8.00,5.67
44000051,8.00,7.50,8.00,6.75,8.00,6.75,7.17,,,,
44000052,4.80,6.00,,,,,,6.25,4.25,,3.50
44000053,8.20,8.25,,7.25,7.50,7.25,7.33,,,,
44000054,7.00,7.00,5.40,6.25,6.00,7.00,6.42,,,,
44000055,6.40,7.00,,,,,,5.25,6.00,,3.75
44000056,4.80,5.25,,,,,,6.75,6.75,,4.50
44000057,7.40,8.50,9.20,,,,,7.50,6.00,9.50,7.67
44000058,7.40,7.75,7.40,,,,,8.50,8.00,10.00,8.83
44000059,4.80,7.25,,,,,,7.25,7.75,,5.00
44000060,7.40,6.75,6.00,,,,,7.25,5.75,8.25,7.08
44000061,7.40,8.00,8.60,,,,,8.50,8.00,9.75,8.75
44000062,7.20,8.00,7.80,,,,,7.50,6.25,8.75,7.50
44000063,7.20,7.75,,,,,,7.50,7.75,,5.08
44000064,7.80,8.50,7.80,,,,,5.75,6.75,9.75,7.42
44000065,5.80,7.00,,,,,,4.50,6.75,,3.75
44000066,6.00,5.50,,,,,,5.75,6.00,,3.92
44000067,7.00,7.25,,,,,,8.00,6.00,,4.67
44000068,,,,,,,,,,,
44000069,7.20,7.50,7.20,7.75,7.25,7.25,7.42,,,,
44000070,8.40,7.25,5.40,8.25,8.25,7.50,8.00,,,,
44000071,7.60,8.75,7.60,4.00,8.75,8.00,6.92,,,,
44000072,7.40,6.25,5.60,,,,,,,,
44000073,6.40,6.50,,,,,,6.75,6.00,,4.25
44000074,7.60,4.75,9.60,,,,,7.50,7.25,9.00,7.92
